id;start_date;end_date;language
1;2020-02-17T12:15:00;2020-02-17T10:05:15;SPANISH
2;2020-02-16T17:05:11;2020-02-17T12:09:36;SPANISH
3;2020-02-17T08:00:30;2020-02-16T18:34:39;FRENCH
4;2020-02-16T23:18:01;2020-02-17T10:49:27;FRENCH
5;2020-02-17T08:48:19;2020-02-17T13:35:18;FRENCH
6;2020-02-17T02:40:40;2020-02-17T14:48:54;FRENCH
7;2020-02-17T04:26:00;2020-02-16T22:16:51;FRENCH
8;2020-02-17T03:22:13;2020-02-17T13:38:21;SPANISH
9;2020-02-17T02:03:22;2020-02-16T22:44:45;SPANISH
10;2020-02-17T10:15:26;2020-02-16T20:49:56;SPANISH
